entity861	our nation from
entity20	my sister
entity996	victims and families
entity503	women's health.
entity30	#LGBT workers:
entity441	#Philly was
entity11	50 lives in Orlando
entity583	ISIL is
entity28	gun violence epidemic
entity297	#ASKCampaign
entity721	I
entity139	terrorists and
entity210	women’s preventive health care
entity854	gun violence.
entity787	@SenFeinstein @ChrisMurphyCT
entity632	mass shooting
entity198	We
entity1052	#DisarmHate tonight.
entity501	health care
entity375	#ObamaCare Medical device tax
entity542	people of Belgium and city of Brussels
entity242	mass shooting
entity645	next brutal attack.
entity225	Orlando
entity669	Quality health care
entity856	gun violence
entity399	terrorist attack
entity111	families are
entity1013	terrorist attacks
entity366	current gun safety laws
entity339	my
entity783	mass shooting
entity155	law “could
entity751	Republican alternative
entity321	a bill
entity541	America
entity137	H.R. 240
entity104	we will
entity392	Senate HELP Committee
entity186	the loved ones of those murdered at the nightclub in Orlando
entity211	gun violence
entity93	we
entity994	terror suspects
entity900	Iranian terrorist machine
entity309	#IranDeal
entity1021	our people
entity233	My thoughts and prayers
entity227	the fed govt
entity54	Brussel terrorist attacks.
entity509	new law to protect health insurance
entity832	we
entity649	attacks in
entity946	suspected terrorists and
entity997	reckless gun violence.
entity592	Islamic State and
entity1037	Our proposal
entity666	guns out
entity585	terrorist element.
entity953	#NoFlyNoBuy and #GunShow #loopholes
entity147	her family.
entity160	American shld
entity238	Americans safe.
entity429	@ChrisMurphyCT
entity753	@RepKevinBrady joined
entity360	executive order to expand
entity334	@PPFA
entity241	refugee crisis:
entity88	Strong community and leaders
entity353	gun violence.
entity485	tragic shooting in
entity1063	ACA successes
entity146	Kris and I are
entity451	woman’s reproductive decision-making should
entity402	is
entity417	Durbin Leahy
entity519	#Obamacare continues
entity203	Republicans again
entity908	#Obamacare
entity320	I'm
entity1027	detainees at #GTMO
entity37	sick people angry people and irresponsible
entity839	guns in
entity213	.@SenatorShaheen and @SenatorBarb introduced @DHSgov funding
entity135	families will
entity124	#RI's @Coastal_Medical today
entity492	I’ve helped
entity557	victims their families and the Orlando
entity140	law-abiding Americans.
entity330	FBI increases
entity64	Bill passed by the House
entity460	#ChibokGirls
entity425	#HR5230
entity229	gun violence
entity287	disabled veterans
entity750	radical extremists. Terrorism is
entity552	ISIL
entity141	Basic Health Plan
entity55	#Medicare and #Medicaid providing
entity567	victims families and 1st
entity1017	free
entity985	victims of #Orlando #SandyHook #Sanbernardino and all #gunviolence #DisarmHate
entity212	Congress to
entity201	Americans
entity622	terrorists had
entity347	evil of terrorism
entity372	#Obamacare not
entity521	$39.33B bill
entity484	law-abiding gun
entity619	detainees leaving
entity714	MS’s small businesses
entity70	traffickers to
entity659	I fought
entity237	gun violence prevention legislation
entity711	children and families.
entity258	small businesses
entity740	Americans.
entity282	patients first
entity25	victims of the terror attack in Lahore.
entity919	terrorists.
entity763	gun violence
entity490	#StopGunViolence
entity31	Travel documents
entity992	We owe
entity376	job creation here in PA
entity15	more of those w/ #SickleCell
entity450	Obama
entity381	gun violence.
entity785	terrorism
entity440	families
entity812	We won't
entity1057	the Affordable Care Act
entity119	@HealthSourceRI in
entity691	war-torn #refugees
entity13	#DREAMers who want to serve our country in
entity105	victims and families
entity695	18 million people have
entity778	terrorist attack.
entity414	the Texas law
entity728	Innocent people
entity121	@SenateDems
entity685	@RepBonamici and @repgregwalden!
entity554	gun violence
entity566	My thoughts
entity266	terrorist attack
entity692	America
entity84	UN representative involved in terrorism
entity428	Cantwell speaking
entity526	Tacoma immigration detention center
entity481	Boko Haram
entity572	I will
entity833	terrorists
entity424	Funding
entity867	ISIS and
entity38	the Visa Waiver Program more
entity1030	terrorists
entity683	President Obama
entity464	Retired General @StanMcChrystal
entity219	American people
entity47	#ISIS following
entity734	American people
entity646	#Obamacare –
entity983	is
entity413	#SCOTUS
entity701	Americans.
entity665	@HouseGOP plan will
entity444	ACA subsidies
entity138	legislation to
entity114	commonsense gun reform
entity873	Radical Islamic terrorists
entity411	gun violence prevention legislation
entity814	Orlando shooting
entity1055	allow guns in
entity769	dangerous Supreme Court decision.
entity514	terrorists from
entity771	Court decision.
entity493	new bill
entity640	worst mass shooting in American history
entity45	attacks in Brussels
entity789	The US Senate
entity90	All impacted
entity162	@RepRobinKellyand I are
entity550	gun violence.
entity766	US from
entity744	women?
entity582	@HouseDemocrats #sitin
entity943	our families
entity463	known or suspected terrorists
entity1025	House
entity617	life.
entity615	Congress'
entity502	this mornings SCOTUS decision.
entity209	I fought
entity764	families torn apart by gun
entity1053	30000 Americans
entity148	ISIL-Inspired Attacks
entity955	#GunViolence.
entity756	we vote
entity307	#Obamacare has
entity914	People deserve
entity752	#terrorism is
entity1006	#LGBT community
entity1042	#NoFlyNoBuy and gun show loopholes
entity75	innocent lives lost in the Orlando terrorist attack.
entity511	Orlando’s
entity817	terrorists
entity593	terrorism while
entity41	the Affordable Care Act
entity176	repeal means
entity524	short-term specter of military
entity736	House GOP
entity442	terrorism inspired
entity802	law
entity801	Americans'
entity271	My heart
entity1035	I joined @HughHewitt to
entity939	subpoenas
entity471	gun violence plaguing
entity576	subpoenas
entity970	ed system from
entity494	expectant moms can
entity722	ISIS poses
entity422	local leaders
entity6	#ACA is
entity223	women’s healthcare
entity67	#RI kids
entity936	Domestic abusers would
entity367	us safe.
entity34	our communities before
entity1001	health centers
entity966	gun violence.
entity194	@GinaRaimondo @tenygross @RIStatePolice @RICAGV1
entity190	those who have put down roots and lived here even though...they may have entered illegally.
entity546	Iran-sponsored terrorist attacks
entity533	49 mass shootings
entity35	change our laws?
entity643	ISIS
entity143	gun violence
entity388	#SandyHook and a community ravaged
entity905	Democrats Wednesday
entity268	we can
entity325	Congressman Messer condemns
entity667	Our patient-centered health care plan
entity517	terrorism after
entity830	terrorists from
entity951	91% of those on the terror watch list
entity902	worst terrorist attacks on U.S. soil.
entity396	thousands of #RI #seniors have
entity590	our own national security
entity188	Israel allies
entity180	law-abiding Americans.
entity136	#Obamacare.
entity397	we put
entity949	gun violence
entity547	Americans–he
entity536	@HouseDemocrats will
entity102	Early Iraq Withdrawal
entity1020	Syrian refugees into the U.S.
entity378	Oklahomans'
entity319	#gunviolence.
entity408	terrorist attack.
entity175	#ACA is
entity249	the Affordable Care Act
entity107	we
entity637	Today’s #SCOTUS decision is
entity890	violent Islamist extremist
entity790	terror loophole.
entity58	strengthen gun laws
entity730	common sense gun reform. #Enough.
entity409	us safer
entity398	all.
entity823	workplace safety rural health care and early
entity504	children from Central America
entity601	some Americans
entity285	#LGBT people
entity222	tragic shooting
entity828	the Senate floor
entity5	64k more people being
entity185	law-abiding citizens.
entity1018	10 000 diseases
entity630	@HouseDemocrats will
entity1033	Americans is
entity235	Tillis Joins
entity404	America safe.
entity26	Affordable Care Act
entity579	gun violence
entity673	ISIS
entity270	communities every
entity869	~10000 NM kids access
entity780	would
entity634	massacred by guns
entity512	the Senate
entity807	Georgia repeal
entity383	gun safety bills.
entity369	those on terror watchlist
entity852	commonsense gun legislation
entity822	@HouseAppropsGOP: .@RepHalRogers: Bill supports
entity3	bipartisan bill to expand mental healthcare in criminal justice system
entity704	terrorists not
entity527	radical Islamic terrorism
entity805	We must
entity791	I'm working
entity857	Americans’ retirement security at
entity922	gun violence
entity539	Enjoyed my visit to @provgranola
entity348	[terrorist attacks]
entity101	Inhofe Warns
entity705	We
entity530	@RutlandHerald editorial
entity370	about 30 million Americans uninsured...
entity616	American lives and nat'l security
entity898	healthcare premiums
entity689	terrorists
entity118	#RI'ers who
entity607	the blood of the innocent and
entity1000	I'm proud
entity716	we
entity346	many lives
entity418	immigration
entity156	of women” #StopTheSham
entity421	prescription overdose;
entity293	millions of Americans who
entity841	terrorist into
entity568	I won't
entity500	inequality injustice
entity612	Parenthood and
entity17	low-income communities.
entity948	deadliest mass shooting
entity855	everyone calling for #NoBillNoBreak and
entity4	Medicaid through #ACA in WA State will
entity216	suspected terrorists from
entity174	the 2nd Amendment.
entity523	Middle East
entity324	Western Europe allies in MidEast and US.
entity224	Brenda Lee Marquez McCool
entity352	we can
entity819	terrorists criminals
entity195	sensible laws
entity573	My thoughts
entity727	common sense gun reform
entity958	more patients:
entity605	EACH Woman Act legislation
entity1043	cyber criminals
entity700	terrorists not
entity159	@HouseGOP
entity182	#ACA
entity543	hateful
entity611	gun violence
entity315	21 people:
entity170	Up to 129 million Americans with pre-existing conditions
entity115	I'm headed
entity33	gun violence
entity988	#GetCovered
entity1044	#Taliban terrorists
entity875	Thousands of NM kids count
entity432	Kentuckian on
entity806	radical
entity618	Planned Parenthood
entity746	#NCHB2 signed
entity655	health care program
entity123	#ACAworks
entity443	violent Islamic extremism.
entity63	Sensible Gun Safety Steps
entity624	[terrorist attacks]
entity798	Senseless violence
entity458	families
entity848	#WrongWay health care agenda
entity620	U.S. lives at
entity273	brutal attack
entity245	Rogers
entity969	SCHOOL Act
entity150	terrorism and
entity603	Boko Haram.
entity247	immigrants #DAPA
entity356	terrorists and
entity793	2nd Amendment.
entity899	#LGBT.
entity664	Donnie Chin.
entity193	our schools and communities safe.
entity434	many Kentuckians had
entity915	suspects on FBIs Terrorist Watchlist
entity888	My bill
entity1015	seniors in Oregon and across the country --
entity430	gun violence
entity85	gun violence prevention legislation
entity313	House conservatives
entity1016	ISIS is
entity796	commonsense gun safety reform. #WearOrange
entity525	Accountability in #immigration Detention Act
entity658	Winston Co. jobs and health care restoration:
entity1004	Bill Shuey of @provgranola
entity800	bill w/ @ChrisCoons
entity113	terrorist attack.
entity299	children
entity363	#Orlando hate crime and terrorist attack
entity488	we
entity217	#Obamacare has
entity277	Twitter banned
entity799	Emanuel AME and everyone in Charleston
entity66	@RIKidsCount work
entity234	the Marines involved in the helicopter collision
entity934	#domesticviolence victims
entity629	guns is
entity191	#BetterWay for
entity447	gun violence.
entity961	#Obamacare repeal
entity468	gun
entity365	We cannot
entity633	people are
entity153	#LGBT Louisianans
entity901	victims of
entity406	devastating terrorist attack and hate crime
entity1041	staging
entity393	Immigrants
entity811	our nation’s
entity126	alleged ISIL sympathizer
entity656	rural vets
entity929	Indiana the @GOP
entity843	ISIL is
entity571	NE families.
entity794	Medicare and Medicaid
entity916	We must
entity968	dangerous suspected terrorists
entity846	meaningful background checks
entity289	inhuman attacks in #Brussels
entity851	we can't
entity410	900 000 foreign nationals.
entity274	Orlando is
entity986	Residents of #Flint—quality
entity821	bioterror attacks and pandemic diseases
entity540	refugees
entity342	@RepDianaDeGette:
entity795	Americans healthy
entity884	#DefundPlannedParenthood bill.
entity535	and
entity144	162 000 Washingtonians missing
entity354	Israel's fallen soldiers and victims of terrorism and their families on
entity73	ISIL and Islamic terrorism --
entity957	@RIHCA_CHCs in Cranston Pawtucket and #PVD
entity240	refugee camp:
entity904	Americans it
entity967	@HouseDemocrats
entity941	medical students.
entity109	America?
entity87	#CharlestonShooting
entity1011	#RI'ers.
entity816	Bill
entity1028	United States.
entity179	terrorists and
entity907	West Virginians
entity733	@RepEsty: .@SpeakerRyan
entity713	and I
entity259	healthcare premium increases under Obamacare.
entity122	uninsured children
entity177	millions of Americans
entity21	Pinczowski family.
entity331	cybercrime
entity909	we
entity382	vast majority of @HouseDemocrats and @ChrisMurphyCT here
entity131	our borders defend
entity507	Republicans
entity243	Umpqua Community College in Oregon.
entity400	America since
entity152	gun violence
entity385	@HouseGOP:
entity858	families feel
entity2	victims and their
entity838	300 people
entity897	the number of uninsured
entity735	suspected terrorists and
entity515	law-abiding citizens:
entity865	terrorist organizations.
entity39	terrorists into
entity473	#HR4820 to
entity374	MS:
entity436	#Kentucky rates
entity718	Boko Haram.
entity36	guns available
entity275	tragic shooting at a
entity169	gun violence and hate
entity145	international terrorist groups.
entity498	millions of Americans get
entity196	pub. safety
entity95	full-timers at schools
entity377	gun slaughter.
entity864	Americans
entity357	endangered Americans—failing
entity482	terrorist group.
entity877	gun violence.
entity520	Mississippi families w/
entity688	The Senate
entity845	Responsible gun owners (I'm
entity984	We're doing
entity304	meaningful gun reform legislation.
entity584	America is
entity134	gun violence. #NoBillNoBreak
entity710	gun violence
entity678	plans
entity965	30k Americans
entity132	terrorism
entity466	gun violence
entity154	Planned Parenthood
entity880	patients first
entity158	US.
entity677	patients first.
entity128	our country
entity930	Planned Parenthood
entity79	We
entity82	Brussels attacks need
entity94	#Obamacare dropping
entity903	#Iran is
entity323	#ISIL
entity638	of families
entity559	enact gun reform
entity933	CT House
entity1054	gun violence we
entity775	millions of low-income women wouldn't
entity267	Orlando and
entity944	we act?
entity27	Americans with health coverage
entity1058	20 million Americans who were previously uninsured
entity394	every family who has had a loved one taken by a bullet from a gun
entity952	@RepTedDeutch @RepMurphyFL and I
entity973	law-abiding citizens:
entity163	gun reform
entity626	barbaric terrorists
entity668	Americans have
entity954	@Jorge_Elorza @RICAGV1 @MomsDemand and more
entity923	2 000 terror suspects bought
entity577	Americans
entity513	terrorism:
entity768	women's health
entity318	my way
entity405	9 of 10 Americans on terrorist watchlist who try to buy firearms
entity358	@WaysandMeansGOP:
entity959	developments and latest efforts
entity208	San Bernardino
entity588	terrorist attacks in
entity65	combat terrorist use of social media:
entity23	family of SSgt Louis F. Cardin -
entity433	#Obamacare:
entity847	Terror Gap.
entity284	Americans from
entity469	Our healthcare plan
entity621	Six Americans
entity663	shooting death
entity0	horrific act of terror in Orlando.
entity758	Americans are
entity652	fulltime workers
entity281	@OppLives about #HR2300 - health care reform solutions
entity214	bill to cont. essential counterterrorism and security ops:
entity467	community policing
entity987	lead exposure.
entity97	these clinicians play
entity872	American
entity483	criminals while
entity895	U.S.
entity486	Oregon:
entity226	terrorism
entity772	we start
entity1046	#Castro regime
entity743	ACA so
entity781	#OKCBombing—one
entity22	cowardly terrorist attacks.
entity51	#ISIL
entity1045	acts of terrorism
entity199	terrorists and mass-shootings.
entity332	Americans safe
entity938	‘radical Islam’
entity311	Middle East
entity586	victims of the terrorist attacks in #Paris.
entity773	gun violence
entity707	ACA passed
entity788	gun loopholes.
entity703	Closing terror gap
entity671	@HouseDemocrats holding
entity251	millions to
entity278	US intel agencies
entity7	millions of
entity215	@HouseDemocrats
entity862	terrorist attacks
entity885	women's health
entity218	people
entity14	#ACA
entity804	#France #Tunisia and #Kuwait.
entity913	health care and medical research.
entity548	suspected terrorists #NoBillNoBreak
entity437	Americans who
entity886	@RepHalRogers and @MineWorkers Cecil Roberts
entity686	All Oregonians deserve
entity74	#Orlando Massacre
entity261	firearm background checks.
entity288	terrorism also
entity708	is
entity815	gun safety legislation
entity1007	#PulseShooting
entity813	guns out
entity999	healthcare #innovation!
entity52	Russian airstrikes
entity295	Democrats will
entity792	terrorists and
entity165	threat of gun
entity142	162k eligible WA residents
entity726	Gun violence
entity650	Brussels were
entity598	anti-American regimes like Iran
entity591	ISIS
entity59	curb gun violence.
entity202	terrorism and mass-shootings:
entity461	Boko Haram.
entity706	Over 16 million previously uninsured Americans
entity1008	#LGBT people everywhere
entity423	#Charleston9 who
entity1062	suspects on the FBI’s #terrorist watch list
entity924	US.
entity253	My thoughts
entity43	Brussels terrorist attacks
entity439	immigrants
entity24	women
entity166	Weak gun laws at
entity167	The LGBT community
entity57	common sense reforms
entity675	gun legislation!
entity1014	Paris are
entity831	dangerous people
entity368	Republican alternative promises
entity303	more than 400 000 North Carolinians
entity290	innocent
entity151	many lives.
entity767	cyber terrorists and
entity431	perpetrators who killed police officers w guns in WA
entity200	GOP should
entity720	common sense gun reform.
entity349	my focus
entity699	Closing terror gap
entity306	#BetterWay
entity1024	#LGBT Americans
entity725	woman
entity1009	worst mass shooting in history.
entity977	suspected terrorists
entity594	#GunViolence by
entity164	all Americans everywhere
entity296	gun
entity981	terrorists buying guns
entity545	victims of
entity496	women and infants.
entity206	uninsured kids
entity254	friends and families of the victims and the entire Charleston
entity189	My prayers
entity975	Middle East is this deal.
entity1039	Americans
entity317	Kurds in Iraq.
entity62	Gun Violence:
entity280	sensible gun laws:
entity528	@RevJJackson:
entity942	Officer Jesse Hartnett
entity505	homeland strengthening
entity964	I
entity92	ancient artifacts.
entity178	a bill to
entity305	@RepKevinBrady:
entity687	#EMS #orpol #healthcare #ruralhealth #Medicare
entity8	#ACA has
entity60	@TrueColorsFund’s
entity29	calls
entity874	women and kids in Pakistan
entity1031	victims and their families we
entity935	gun violence.
entity326	Paris terror
entity829	my colleagues
entity256	PA's economy
entity648	#Obamacare mandate.
entity980	Americans safe.
entity455	#ACA is
entity204	suspected terrorists.
entity479	#BokoHaram
entity1059	91 people
entity333	African American women
entity910	victims and families of
entity279	#SanBernardino shooting
entity578	ISIS is
entity974	Iran from
entity120	Our kids pay
entity532	obstruction tactics
entity239	@ChrisMurphyCT
entity859	gun violence. The
entity871	#Cuba
entity1023	#HB2
entity56	seniors #KeepingUSHealthy
entity672	#NoFlyNoBuy and gun show loophole bills #NoBillNoBreak
entity1051	ISIS terror capability
entity106	gun violence.
entity998	@GinaRaimondo @RIFoundation and #RI #healthcare leaders
entity947	suspected terrorists on the terror watch list
entity459	#ACA is
entity76	Arizona has
entity18	Brussels today.
entity53	Syria 2
entity731	The US has
entity602	girls kidnapped
entity427	a family of four.
entity670	in #Flint
entity926	Dominican Republic.
entity625	We must
entity696	the Affordable Care Act
entity748	20 mn Americans who were previously uninsured
entity623	#GTMO.
entity690	Uninformed and rash reactions
entity10	I am
entity301	commonsense reforms
entity950	Twenty million
entity863	holistic national security strategy
entity127	Syrian refugees
entity230	@ChrisMurphyCT's #filibuster
entity205	Proud RI
entity723	our nation
entity452	The Fair Day in Court for Kids Act
entity416	women’s
entity818	DOJ by
entity589	More customers
entity551	I demand
entity803	American lives.
entity386	#BetterWay
entity555	women
entity263	terrorists.
entity149	Law enforcement officials are
entity359	@LouisianaGov: Gov. John Bel Edwards
entity917	terrorists.
entity328	Bill protects
entity989	@repbenraylujan calling
entity171	#ACAWorks
entity340	U.S.
entity412	Americans safe.
entity570	#ObamaCare is
entity755	health care
entity827	the humanitarian situation on the border
entity390	#RI families of 1983 #Beirut bombing victims
entity48	6 ex-#GITMO detainees
entity244	victims and family friends on
entity172	We must
entity853	Americans are
entity702	Our immigration detention policy
entity42	20 million Americans who were previously uninsured now
entity61	#LGBT youth
entity647	volunteer firefighters
entity300	#gunsafety
entity887	protecting miners’ healthcare and pensions.
entity322	Orlando gunman
entity449	more people
entity931	@PPact clinic
entity40	U.S.
entity860	Congress #WearOrange
entity510	small business workers and employers
entity825	frontline and border sec ops
entity518	tragedy
entity220	suspected terrorists and
entity597	Israel our
entity928	women all over the US.
entity1022	#Obamacare premiums
entity516	Senate working
entity653	citizens of Louisiana
entity116	gun violence.
entity694	guns -
entity549	moms who have lost children to
entity732	gun violence
entity96	rural areas where physicians are scarce
entity1048	thousands of black and brown boys in their formative
entity391	My bipartisan bill
entity157	more than 2 000 terror suspects
entity453	unaccompanied minors
entity420	Kentucky to
entity553	30 000 Americans are
entity310	nuclear arms race
entity236	ISIS Passports
entity522	#IranDeal
entity19	#SICKLECELL
entity835	@LeslieMarshall abt common sense measures we can
entity32	weapons of terror
entity99	unnecessary and duplicative burdens
entity133	@SpeakerRyan we MUST
entity389	gun violence
entity472	our communities
entity826	Republican bill
entity98	This common-sense bill
entity445	16 million+ people can
entity715	expensive #Obamacare mandates:
entity497	Medicare and Medicaid who
entity16	Common Sense Savings Act
entity628	90 Americans die
entity207	mass shooting in
entity252	the Affordable Care
entity265	#Obamacare repeal
entity995	we will
entity538	American ppl.
entity338	victims and their families are
entity894	terrorists
entity264	Congress passed
entity257	Senate passed the PACE Act
entity581	suspected
entity1056	DC schools.
entity697	Congress must act
entity912	my work in Congress supporting
entity1032	action to strengthen our gun
entity361	Medicaid in Louisiana!
entity774	Planned Parenthood
entity283	#Obamacare to
entity563	#vets and everyone in #rural #NM
entity1034	terrorists who use guns.
entity982	gun safety bill.
entity680	#Flint.
entity979	gun violence prevention legislation
entity83	The Senate has
entity232	w/ Gallup #VeteransHelpingVeterans
entity362	all victims—incl 2 Michigan men—and families following
entity920	Shooting in Orlando
entity684	more people.
entity221	suspected terrorists on the terror watch list were
entity534	Illegal Immigrants
entity993	LGBT community and all families harmed by gun violence to
entity173	terrorists while
entity761	the victims their families and
entity1026	potential terrorist travel in the US.
entity1019	I support #Cures2015.
entity110	is
entity770	health following
entity747	@_ACHP: . @SenatorIsakson The
entity757	commonsense gun legislation
entity89	the city through
entity364	Senator Patrick Leahy
entity960	terrorist
entity836	gun violence in
entity46	Brussels terrorist attacks
entity580	Americans’ retirement security
entity824	@DHSgov Sec. Johnson
entity327	attacks:
entity776	Garland
entity294	Affordable Care Act.
entity866	comprehensive strategy
entity606	ALL women access
entity380	House Dems including the whole CT Delegation
entity600	southern border
entity889	border communities
entity564	American people expect
entity870	#SONGact would
entity69	The gun show loophole
entity371	millions have
entity562	We need
entity228	terrorists and criminals.
entity415	abortion rights
entity81	Americans.
entity876	CHIP for
entity470	@ChrisMurphyCT
entity192	America’s immigration system is
entity478	people of Nigeria
entity91	#ISIS destroying
entity489	student
entity456	thousands in #NC12
entity491	Americans including
entity891	terrorists
entity709	gun violence
entity842	#ISIS
entity779	The president's
entity262	common-sense amendment
entity636	guns out
entity426	The Basic Health Plan
entity613	It Serves”
entity610	The House
entity978	we should
entity556	horrific shooting at
entity161	gun violence.
entity44	Dave Elswick
entity972	terrorists from
entity50	US military efforts
entity457	POTUS
entity438	#Obamacare
entity329	terrorists and
entity657	@SenatorWicker @RepAlanNunnelee pleased @FEMA recovery aid support
entity574	#SanBernardino community
entity272	victims and families of the terrible terrorist attack in Orlando.
entity599	terrorism you
entity662	@HouseGOP
entity879	you and Kate for
entity681	#ACA open enrollment
entity373	US but
entity820	Bill
entity508	migrant children
entity937	Harrisburg man allegedly supporting ISIS is
entity797	gun violence
entity71	streets of Chicago with
entity403	counter-terrorism programs
entity976	#NRA mmbrs
entity724	EACH Woman Act
entity302	#gunsafety laws. We
entity834	gun control
entity312	Iran terror
entity77	Obamacare rate
entity759	terrorist attack
entity269	gun violence
entity558	Gun violence
entity72	we must
entity477	Boko Haram thugs
entity350	a terror-sponsoring regime
entity465	gun violence
entity12	@HouseGOP
entity712	#filibuster
entity308	patients and buried small businesses
entity531	commonsense gun safety legislation
entity130	HR 240
entity1049	patient-centered health care system
entity990	families fr
entity971	#ObamaCare regs.
entity561	ISIL doesn’t
entity476	Move
entity103	#ISIL and
entity609	gun violence and
entity896	#healthcare reform—and the decision to expand Medicaid—have
entity1038	foreign nationals who want to kill
entity660	MD schools
entity698	protect #LGBT Americans
entity462	48 people were
entity742	ACA
entity125	@FBI who
entity560	Paris and San Bernardino attacks
entity850	commonsense gun legislation.
entity760	Our thoughts and prayers
entity407	#LGBT community in #Orlando.
entity940	researchers
entity1002	gun violence legislation.
entity777	his country
entity906	Syrian and Iraqi refugees
entity475	terrorists’
entity343	Politics of the extreme right
entity448	@HouseGOP.
entity335	African American women
entity893	Cantwell and @SenatorCollins legislation
